country_code,country_name,year,gdp_per_capita_usd,internet_users_pct,electricity_access_pct,life_expectancy_years,urban_population_pct,trade_pct_gdp,unemployment_pct,inflation_pct,population_total,fdi_pct_gdp,education_spend_pct_gdp,region,income_level,lending_type
AGO,Angola,2016,2051.81462126253,23.20000076,41.8,61.619,64.2992302517989,47.0155661405313,16.572,30.6944150806719,29183070.0,-0.299804386002375,2.75493664582725,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2017,2790.71886869768,26.0,42.9,62.122,65.0850525086068,45.6643423539921,16.617,29.8444799015679,30234839.0,-8.76696380208172,2.46687881104886,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2018,2860.0936483682,29.0,45.3,62.622,65.8732136723372,58.916480075976,16.602,19.628937970152,31297155.0,-7.21246216123288,2.18351298946275,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2019,2493.67884440177,32.12939835,45.6,63.051,66.6637823180533,60.7148243336685,16.497,17.080954143438,32375632.0,-5.07649440156737,2.07306438181603,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2020,1759.35619918264,33.32089996,47.0,63.116,67.4568270208187,54.3442286847189,16.696,22.2715392470509,33451132.0,-3.17143620765821,2.66744733689285,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2021,2303.90812662776,34.55649948,48.2,62.958,68.2524163556969,61.5262136695806,15.799,25.754294884189,34532429.0,-5.47403409372737,2.29719689513241,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2022,3682.1131513698,35.83800125,48.5,64.246,69.0506188977513,55.2547732713835,14.124,21.3552901320822,35635029.0,-5.02899288556058,2.38535898416633,Sub-Saharan Africa,Lower middle income,IBRD
AGO,Angola,2023,2916.13663284275,37.88589859,51.1,64.617,69.8515032220457,53.033483632308,14.051,13.6441017767714,36749906.0,-1.97786390222726,2.51273663315785,Sub-Saharan Africa,Lower middle income,IBRD
ATG,Antigua and Barbuda,2015,16077.6340769406,70.0,100.0,76.892,25.0,130.071549851721,,0.968993458825638,89409.0,7.93223201859466,1.9934755302761,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2016,16556.8551801588,70.27159882,100.0,76.968,24.9239807471655,132.025917905085,,-0.489437796230498,89969.0,6.54079848427652,2.17149931504636,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2017,16965.7288273816,70.54419708,100.0,77.03,24.8500263836871,127.664323582144,,2.43248789041362,90468.0,9.85575663347108,2.28158315038897,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2018,18273.4270684912,70.81790161,100.0,77.132,24.7781432093764,130.655152659419,,1.20715793367007,90926.0,12.1775193572219,2.26922708436893,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2019,18896.3721832248,71.09259796,100.0,77.168,24.708337524045,137.537783631991,,1.43135598182983,91364.0,7.75630247071163,3.35725653382563,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2020,15369.6082250401,71.36840057,100.0,77.161,24.6406156275043,94.289529886499,,0.625989707046719,91846.0,6.82766026835143,3.0051830460864,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2021,17348.6006987182,71.64530182,100.0,77.197,24.574983819566,101.074960584779,,2.06299638545334,92349.0,17.8854599675431,2.50897393198865,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2022,20105.1989085164,71.9233017,100.0,77.483,24.5114484000414,117.703527768353,,7.53107834634288,92840.0,16.3832463643885,2.50368755552383,Latin America & Caribbean,High income,IBRD
ATG,Antigua and Barbuda,2023,21494.5474000727,72.12409973,100.0,77.598,24.4500156687422,,,5.06713865364212,93316.0,14.6092927494913,3.10505161832136,Latin America & Caribbean,High income,IBRD
ARG,Argentina,2015,13679.6264980954,68.0430641088122,99.7,76.6,91.4923019108628,22.4862260889792,7.577,,43477012.0,1.97713461784426,5.77611017227173,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2016,12699.9623137756,70.9689808206024,99.9,76.105,91.5856817228217,26.0938878488799,8.088,,43900313.0,0.584748941173009,5.54548978805542,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2017,14532.5009308511,74.2949068657957,100.0,76.543,91.6776028433824,25.2896011376779,8.347,,44288894.0,1.78936504083806,5.45432996749878,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2018,11752.7998922979,77.7,100.0,76.77,91.7679941327998,30.7625359549926,9.22,34.2772237131003,44654882.0,2.23253157689253,4.87773990631104,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2019,9955.97478680428,79.9469520347551,100.0,76.847,91.8567844513802,32.6306150458499,9.843,53.5483043492339,44973465.0,1.48500687570697,4.77165985107422,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2020,8535.59938004389,85.51438646,100.0,75.878,91.9439026594897,30.203698807416,11.461,42.0150947376509,45191965.0,1.26616924308721,5.27689981460571,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2021,10738.0179223384,87.15070683,100.0,73.948,92.0292776175651,33.078689567466,8.736,48.4093786255199,45312281.0,1.36838083162438,4.65393018722534,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2022,13962.1894087223,88.37535691,100.0,75.806,92.112838186126,31.5801792606256,6.805,72.430757531824,45407904.0,2.3984601182853,4.79263019561768,Latin America & Caribbean,Upper middle income,IBRD
ARG,Argentina,2023,14261.8465667948,89.22897166,100.0,77.395,92.1945132257907,26.6769512482215,6.139,133.488935594175,45538401.0,3.81190879856952,5.00324010848999,Latin America & Caribbean,Upper middle income,IBRD
ARM,Armenia,2015,3512.39350276709,59.1008337674937,100.0,74.8707317073171,64.4929623431549,71.6820743427575,18.261,3.73169119261693,3004600.0,1.74473701796819,2.80591011047363,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2016,3524.42476874707,64.3460297653742,99.8,74.8682926829268,64.5928753345316,76.0779674593548,17.617,-1.40360755900899,2992300.0,3.16536727816995,2.75812005996704,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2017,3869.05373867752,64.7448843250726,99.7,75.2170731707317,64.7124948593667,87.202376539837,17.704,0.969553268816137,2979400.0,2.19257337687685,2.70759010314941,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2018,4196.00562301769,68.2450522610271,99.9,75.619512195122,64.8502833795679,92.473107021212,18.966,2.52023382001637,2969000.0,2.14204783415544,2.11331180512289,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2019,4597.22887399548,66.5439496866159,100.0,76.2219512195122,65.0047033570428,97.847004865327,18.304,1.44344660770698,2962500.0,0.736345856475298,2.15984239839771,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2020,4268.68093304583,76.50770055,100.0,73.3756097560976,65.174217253699,70.1213571368789,18.175,1.21143577838464,2961500.0,0.463408850763634,2.70555996894836,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2021,4685.17997128509,78.61225758,100.0,72.2780487804878,65.3572875314441,79.2489057647112,15.469,7.1848362944337,2962300.0,2.64014282794454,2.76784992218018,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2022,6571.97445545099,77.02767465,100.0,74.7658536585366,65.5624462874485,103.878629213508,13.451,8.64091108973854,2969200.0,4.99991586140552,2.4918999671936,Europe & Central Asia,Upper middle income,IBRD
ARM,Armenia,2023,8159.08720967996,79.99663036,100.0,77.4658536585366,65.6956882008852,123.418750077627,12.405,1.98041877615553,2964300.0,2.39959276465582,2.43869996070862,Europe & Central Asia,Upper middle income,IBRD
ABW,Aruba,2015,27458.2201537506,88.661226932496,100.0,75.405,63.2288374043053,140.493001133496,,0.474763597342641,107906.0,-0.907264375161604,5.88826990127563,Latin America & Caribbean,High income,Not classified
ABW,Aruba,2016,27441.5502144601,93.542453865048,100.0,75.54,63.0077880571142,136.887263320827,,-0.93119598707956,108727.0,0.923397287531133,5.49136018753052,Latin America & Caribbean,High income,Not classified
ABW,Aruba,2017,28440.0416881491,97.17,100.0,75.62,62.7768488886109,138.716620095236,,-1.02828178762012,108735.0,5.2533752062728,4.45581996127504,Latin America & Caribbean,High income,Not classified
ABW,Aruba,2018,30082.1584226798,,100.0,75.88,62.5367636985996,138.824972245657,,3.6260414135296,108908.0,4.39981717177271,4.54876355243615,Latin America & Caribbean,High income,Not classified
ABW,Aruba,2019,30645.8906024548,,100.0,76.019,62.288276286885,137.9619293134,,4.25746204335427,109203.0,-2.2478342012416,4.43503686776957,Latin America & Caribbean,High income,Not classified
